15:13:33.541524 futex(0x55dd72a5a238, FUTEX_WAKE_PRIVATE, 1) = 1 (DELAYED) <20.000167>
15:13:53.541866 futex(0x55dd72a64b40, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000037>
15:13:53.542086 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000036>
15:13:53.542608 futex(0x55dd72a5a938, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000036>
15:13:53.546417 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000034>
15:13:53.546957 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000029>
15:13:53.547040 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000031>
15:13:53.547139 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000031>
15:13:53.547214 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000039>
15:13:53.547312 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000033>
15:13:53.547391 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000030>
15:13:53.547478 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000031>
15:13:53.547554 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000031>
15:13:53.547642 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000031>
15:13:53.547719 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000033>
15:13:53.547808 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000032>
15:13:53.547884 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000031>
15:13:53.548060 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000027>
15:13:53.548127 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000034>
15:13:53.548227 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000034>
15:13:53.548301 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000030>
15:13:53.548403 futex(0x7f6080000020, FUTEX_WAIT_PRIVATE, 2, NULL) = -1 EAGAIN (Resource temporarily unavailable) <0.000023>
15:13:53.548525 futex(0x7f6080000020, FUTEX_WAKE_PRIVATE, 1) = 0 <0.000021>
15:13:53.548586 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000025>
15:13:53.548649 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000034>
15:13:53.548752 futex(0x7f6080000020, FUTEX_WAIT_PRIVATE, 2, NULL) = -1 EAGAIN (Resource temporarily unavailable) <0.000022>
15:13:53.548813 futex(0x7f6080000020, FUTEX_WAKE_PRIVATE, 1) = 0 <0.000021>
15:13:53.548873 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000025>
15:13:53.548945 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000041>
15:13:53.549060 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000025>
15:13:53.549124 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000025>
15:13:53.549198 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000032>
15:13:53.549298 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000025>
15:13:53.549388 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000041>
15:13:53.549496 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000024>
15:13:53.549558 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000024>
15:13:53.549635 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000024>
15:13:53.549696 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000024>
15:13:53.549771 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000025>
15:13:53.549834 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000024>
15:13:53.549910 futex(0x55dd72a64d68, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000027>
15:13:53.549976 futex(0x55dd72a64ec0, FUTEX_WAKE_PRIVATE, 1) = 1 <0.000022>
